"TIME","GEO","CITIZEN","AGE","SEX","Value","Flag and Footnotes"
"2002","United Kingdom","Total","From 10 to 14 years","Females",":",""
"2002","United Kingdom","Total","From 15 to 19 years","Females",":",""
"2002","Iceland","Total","From 10 to 14 years","Females","10,944",""
"2002","Iceland","Total","From 15 to 19 years","Females","10,242",""
"2002","Liechtenstein","Total","From 10 to 14 years","Females",":",""
"2002","Liechtenstein","Total","From 15 to 19 years","Females",":",""
"2002","Norway","Total","From 10 to 14 years","Females","147,168",""
"2002","Norway","Total","From 15 to 19 years","Females","130,323",""
"2002","Switzerland","Total","From 10 to 14 years","Females","210,173",""
"2002","Switzerland","Total","From 15 to 19 years","Females","204,386",""
"2002","Montenegro","Total","From 10 to 14 years","Females",":",""
"2002","Montenegro","Total","From 15 to 19 years","Females",":",""
"2002","Former Yugoslav Republic of Macedonia, the","Total","From 10 to 14 years","Females",":",""
"2002","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 19 years","Females",":",""
"2002","Albania","Total","From 10 to 14 years","Females",":",""
"2002","Albania","Total","From 15 to 19 years","Females",":",""
"2002","Turkey","Total","From 10 to 14 years","Females",":",""
"2002","Turkey","Total","From 15 to 19 years","Females",":",""
"2002","Andorra","Total","From 10 to 14 years","Females",":",""
"2002","Andorra","Total","From 15 to 19 years","Females",":",""
"2002","Moldova","Total","From 10 to 14 years","Females",":",""
"2002","Moldova","Total","From 15 to 19 years","Females",":",""
"2002","Ukraine","Total","From 10 to 14 years","Females",":",""
"2002","Ukraine","Total","From 15 to 19 years","Females",":",""
"2002","Tajikistan","Total","From 10 to 14 years","Females",":",""
"2002","Tajikistan","Total","From 15 to 19 years","Females",":",""
"2002","Uzbekistan","Total","From 10 to 14 years","Females",":",""
"2002","Uzbekistan","Total","From 15 to 19 years","Females",":",""
"2002","Armenia","Total","From 10 to 14 years","Females",":",""
"2002","Armenia","Total","From 15 to 19 years","Females",":",""
